小区,count,lng,lat,上线时间,户型数量,区,地段,地址
中粮天悦壹号,138000,121.48024413998002,31.248950503867,2016-11-22,4,静安,西藏北路,曲阜路966弄（西藏北路路口）
上实海上公元,44000,121.275228,31.350158,2017-01-14,4,嘉定,嘉定新城,希望路260弄
临港首府,26955,121.912322,30.906097999999997,2018-03-30,5,浦东,临港新城,竹柏路503弄
品尊国际公寓,100000,121.426022,31.264001,2016-09-02,4,普陀,真如,铜川路58弄
西上海御庭,32000,121.21073899999999,31.292763,2016-04-01,9,嘉定,安亭,曹安公路4908弄
华润佘山九里二期,43000,121.20036100000002,31.161443,2016-10-01,5,松江,泗泾,古楼公路659弄
合生海景1号,29000,121.359353,30.731734000000003,2017-04-29,6,金山,金山新城,龙胜路67号
同润Golf街区,37946,121.322515,31.013324,2017-01-13,11,松江,车墩,影佳路123弄
领第漫生活国际商铺,40000,121.28889197908998,31.175726586402998,2015-04-11,0,青浦,徐泾,沪青平公路1818号
虹桥协信中心,60000,121.32148500000001,31.207392,2014-08-01,1,闵行,华漕,申虹路663号
佘山东紫园,85365,121.216297,31.096071999999996,2017-04-30,5,松江,佘山,林叶路88弄
佘山玺樾,51000,121.19800463042,31.072227646434,2018-07-01,16,松江,松江新城,灵竹路99弄
嘉善新天地,20000,120.9378847751,30.822105069520997,,0,上海周边,嘉善,农商城西尚客优快捷酒店
佘山月湖山庄,55762,121.23085829385,31.107442163409,2011-06-11,8,松江,佘山,林荫新路255弄
虹桥富力中心,55762,121.32268400000001,31.213446,2015-11-01,0,闵行,华漕,申虹路958弄
尼德兰花园,0,121.58918,31.34113,2018-12-31,18,浦东,外高桥,莱阳路3988弄1-32号
东方现代悦享城,22000,121.58838999999999,30.933154,2017-04-08,3,奉贤,海湾,人民路239弄98号等
合生东郊别墅,198940,121.60691399999999,31.229204,2009-05-15,4,浦东,张江,翠柏路919弄、699弄
中铁诺德国际中心,50000,121.369426,31.128422999999998,2015-12-19,9,闵行,莘庄,秀文路908号
锦秋御尚,144444,121.39040800000001,31.331473,2016-04-30,11,宝山,上大,锦秋路695弄
银亿公园壹号,125000,121.5579616485,31.216964055264,2017-01-15,4,浦东,花木,花木路826号（世纪公园7号门对面）
佘山东郡,45000,121.24540094538,31.109388268758,2017-05-12,6,松江,佘山,古楼公路1269弄(近嘉松南路)
长泰西郊别墅,55710,121.29511793156999,31.096455960413,2015-10-25,14,松江,洞泾,泗砖南路1500弄
御龙锦园,23000,121.36116799999999,30.765705999999998,2016-09-30,7,金山,金山新城,海丰路85号
嘉一智汇,16000,121.180543,31.153727000000003,2014-03-31,0,青浦,青浦新城,沪青平公路3938号
景源名墅,32608,121.42495838942,30.913920967848,2014-11-14,4,奉贤,南桥,解放西路1000号
虹桥宝龙城商铺,25000,121.241227,31.236454,2015-03-01,0,青浦,华新镇,新府中路华志路交叉口
龙湖北城天街,0,121.36972740265,31.363923210503998,2016-08-12,0,宝山,顾村,陆翔路1018弄
北创匯公館,0,121.583036,31.184694,2017-12-15,0,浦东,北蔡,五星路883号
旭辉铂悦西郊,214285,121.19770851994,31.271571127343,2017-04-02,4,嘉定,安亭,博园路6155号
蓝湖湾,17000,121.435603,31.799985999999997,2018-07-30,8,上海周边,启东,通江路100号
国信世纪海景,1010101,121.52028700000001,31.217846999999995,2011-05-28,3,浦东,塘桥,浦明路1288弄
嘉兴中南君悦府,13000,121.104549,30.621378000000004,2017-07-30,5,上海周边,嘉兴,外环东路
绿城·黄浦湾,265151,121.51074998247,31.223404018985,2016-04-27,10,黄浦,董家渡,中山南路566弄 近王家码头路
招商·碧桂园依云四季,14000,121.30020225706001,31.535234775903,2018-01-06,4,上海周边,太仓,浏河镇南海路8号（南海路与银海路交汇处）
融科托斯卡纳庄园,16000,121.42489599999999,31.804122999999997,2011-07-14,6,上海周边,启东,沙南西路1100号
新城金樾,11000,120.97973,30.681154,2018-01-31,5,上海周边,嘉兴,平湖市金平湖大道与九场线交汇处（曹桥街道办事处对面）
碧桂园世纪城,14500,121.018275,31.249228000000002,2017-06-17,6,上海周边,昆山,"黄浦江路,近淞南西路"
恒盛尚海湾二期,150000,121.46759499999999,31.185467,2016-12-25,16,徐汇,龙华,凯滨路18弄
上海院子·雅院,42696,121.183449,31.353772999999997,2016-10-10,5,嘉定,嘉定新城,百安公路2699弄
凤凰城,50000,121.42287900000001,31.025961,2018-12-01,8,闵行,江川路,景谷中路58弄
绿洲华亭茗苑,25000,121.25084299999999,31.471562,2016-09-28,4,嘉定,嘉定镇,高竹路501弄
宝华·城市之星,98000,121.436947,31.260911,2016-12-11,4,普陀,光新,石泉路18号
仁恒西郊花园,60000,121.26472700000001,31.187521999999998,2018-01-01,7,青浦,徐泾,徐盈路1188弄
佘山一品,33043,121.18336399999998,31.10531,2016-08-27,5,松江,佘山,桃源路518弄
源昌幸福里,42000,121.16292717073,31.164278134202,2016-10-16,7,青浦,青浦新城,华科东路38弄
金山联东U谷,6500,121.32091499999999,30.842340999999998,2012-06-01,2,金山,朱泾,夏宁路818弄62号
绿波景园,36000,121.277115,31.113933000000003,2018-12-31,5,松江,泗泾,沪松公路2972弄12号
大华朗香花园,54000,121.38754899999999,31.325332,2017-11-21,6,宝山,上大,"祁真路199弄,祁真路36弄,华秋路58弄,祁真路160弄"
华侨城苏河湾塔尖住宅,190000,121.488069,31.248287,2016-05-01,17,静安,西藏北路,山西北路88弄
汇金兰庭,12000,120.89620796143998,30.946134109025998,2017-03-01,0,上海周边,嘉善,嘉善西塘古镇西园路319号
经纬·学士逸居家园,50000,121.41146699999999,31.330621999999998,2016-09-28,7,宝山,上大,纬地路99弄
湖山香颂湾,31000,121.343883,30.754803999999996,2016-09-30,5,金山,金山新城,"龙轩路999弄,龙轩路869弄"
复地浦江中心,18000,121.524423,31.082056,2015-06-12,3,闵行,浦江,联航路1505弄1-5号等
尚海郦景名苑,210526,121.54210800000001,31.246285999999998,2016-09-03,8,浦东,洋泾,桃林路299弄
中鹰黑森林,120000,121.415654,31.275512,2014-09-30,18,普陀,万里,新村路1717弄
路劲上海villa,29007,121.182144,31.357141,2017-06-04,10,嘉定,嘉定新城,恒荣路589弄
招商花园城,45000,121.45351200000002,31.374553999999996,2017-10-30,3,宝山,杨行,水产路2199弄（近杨泰路）
融信铂爵,43000,121.08861599999999,31.144061999999998,2017-06-30,5,青浦,青浦新城,大盈浦路1500弄
东郊壹号,372277,121.606523,31.226726,2010-07-18,6,浦东,张江,银柳路58弄
华谊逸品澜湾,46000,121.30900007056002,31.312842368144,2018-01-11,7,嘉定,南翔,陈翔路2400弄
万科虹桥云,45000,121.34225,31.157322999999998,2016-12-08,7,闵行,七宝,新龙路1333弄25号
东方鸿璟,36000,121.76718100000001,31.106412,2014-06-29,7,浦东,祝桥,"卫亭路999弄,航亭环路399弄"
御湖别墅,51111,121.248341,31.158259,2015-11-06,9,青浦,赵巷,青平公路2558弄
海南绿城蓝湾小镇,24000,109.96294084498001,18.425298260852,2018-01-31,3,上海周边,其他,海南省陵水自治县新村镇清水湾旅游度假区C区
淮海名邸,130000,121.4316,31.207268,2016-06-13,9,长宁,虹桥路,安顺路
金色家园,16000,120.83327091966999,30.852640347885,2016-12-16,0,上海周边,嘉善,杨庙大道与育才路的交汇处
阜兴世纪公馆,80000,121.536121,31.230707000000002,2016-11-20,4,浦东,塘桥,向城路29号
颐湾丽庭,34246,121.042203,31.121396999999998,2015-01-31,7,青浦,朱家角,绿舟路118弄
信义嘉庭,40000,121.280478,31.377990999999998,2016-10-06,8,嘉定,嘉定镇,翁家宅路89弄，复华路28弄
华洲君庭,215384,121.61190372754999,31.22966250087,2008-09-29,6,浦东,张江,银柳路385弄
中海紫御别墅,140000,121.387553,31.232991,2016-03-30,2,普陀,长风,同普路689弄
万源城御璄,90000,121.39689853465,31.154448580612996,2016-05-05,7,闵行,古美罗阳,古龙路588号
明天华城,52200,121.58748500000002,31.107109,2016-08-13,6,浦东,周康,"康沈路2262弄,周星路500弄"
中建大公馆,165600,121.52188868471,31.337431265993,2015-06-27,4,杨浦,新江湾城,杨浦江湾城路899号（近国秀路），新江湾城政和路538弄1-230号
万科翡翠公园商铺,115857,121.61566245838002,31.184700559265,2017-09-19,12,浦东,张江,荣科路277弄（近百业路）
万业·一番空间,80000,121.44438799999999,31.26018,2016-09-18,5,普陀,光新,远景路662号
大宁·揽翠艺墅,115000,121.465442,31.296466,2015-12-01,2,静安,大宁绿地,广延路1099弄
万业观山泓郡,13000,120.454169,31.604934999999998,2017-10-28,3,上海周边,无锡,锡山区东翔路1509号
金大元御珑宫廷,66666,121.657086,31.208265,2016-05-01,3,浦东,唐镇,唐丰路881弄
恒文星尚湾,42000,121.23628300000001,31.229545,2016-03-25,10,青浦,华新镇,新凤中路899弄
步阳御江金都,36000,121.25038799999999,31.403347999999998,2015-11-15,5,嘉定,嘉定新城,嘉唐公路88弄
晶苑四季御庭(四期),61221,121.340671,31.084165000000002,2015-09-26,6,松江,新桥,明华路888弄（近明中路）
复地御西郊,110000,121.365362,31.205587,2015-08-30,7,长宁,虹桥路,金浜路188弄（近福泉路）
紫樱阁,39800,121.12905043808,31.181367841841997,2018-01-08,3,青浦,青浦新城,崧泽大道9188弄
新城海上风华,17500,120.92632477135,30.826689082326002,2017-05-21,4,上海周边,嘉善,世纪大道和车站南路的交叉口
祥生玖熙花苑,14000,120.76316100000001,30.716403000000003,2017-10-31,7,上海周边,嘉兴,新气象路
中梁秀湖壹号院,12000,120.68540300000001,30.779915999999997,,2,上海周边,嘉兴,秀洲区秀园路与东升西路交叉口
汤臣一品,195852,121.508381,31.238608000000003,2009-06-22,7,浦东,陆家嘴滨江,花园石桥路28弄
聚米喆园,10000,120.81183560582,30.897728861066,2017-12-16,0,上海周边,嘉善,天凝镇东方路与天凝大道交汇处
中粮海景壹号,384615,121.51028000000001,31.236882,2012-06-21,4,浦东,陆家嘴滨江,银城中路600弄1-10号
融易创客SOHO,8650,120.879364,30.828083000000003,2017-12-30,0,上海周边,嘉善,嘉善县罗星街道厍浜村、归谷园区
静安府（东区）,144067,121.451022,31.298576,2016-10-28,7,静安,大宁绿地,平陆路999弄
中金海棠湾,23874,121.59824499999999,31.10602,2017-12-06,14,浦东,周康,"沈梅东路300弄,周东南路599弄"
中环国际公寓三期,56000,121.430728,31.339546000000002,2017-08-29,17,宝山,通河新村,场北路669弄
碧桂园天琴雅苑,13000,121.10919507950001,31.648272027946,,0,上海周边,太仓,璜泾镇陆璜公路南与新城路西交汇处
嘉善万联花园,16500,120.92823436556002,30.824316025625,,0,上海周边,嘉善,车站南路白水塘路交汇处
绿地黄浦滨江,586206,121.48690798633001,31.202500956118,2016-06-18,2,黄浦,黄浦滨江,蒙自路778号
白金湾府邸,180000,121.51313400000001,31.256187,2009-09-17,5,虹口,北外滩,海平路18号
欣悦华庭,22000,121.736005,30.946763,2017-07-08,5,奉贤,奉城,新四平公路2378弄
国贸天悦,40000,121.226351,31.132221,2017-11-20,14,松江,佘山,"勋业东路188弄,马尾山路179弄"
绿城乌镇雅园,23500,120.51953200000001,30.729359000000002,2017-09-30,11,上海周边,嘉兴,浦建路1463号
江南印象,15000,120.910211,30.946785,,0,上海周边,嘉善,南苑路288号
崇明·三湘森林海尚,31000,121.84033400000001,31.464170000000003,2016-05-28,8,崇明,崇明其他,揽海路2500弄
新城尚品,33000,121.31874502235,31.069149214802,2018-12-31,6,松江,新桥,新中街188弄
徐汇万科中心,60000,121.43873855773998,31.163860438576002,2015-04-04,3,徐汇,上海南站,南宁路1000号
保利艾庐,43423,121.64748435062,31.103834077043,2017-10-26,10,浦东,周康,蓝靛路1688弄
嘉宝前滩后院,90000,121.518247,31.161171999999997,2016-07-28,3,浦东,三林,云台路1101弄
淡水湾花园二期,118000,121.481526,31.217253999999997,2015-10-23,9,黄浦,打浦桥,马当路530号
绿地虹桥世界中心,2857142,121.31046299999998,31.191171999999998,2016-07-23,3,青浦,徐泾,诸光路1588弄青浦（国家会展中心南区）
艺泰一品花园,30000,121.733442,31.054814,2017-10-01,4,浦东,惠南,人民西路1533弄
万科翡翠滨江,761904,121.548222,31.254064,2015-10-15,10,浦东,洋泾,滨江大道399弄，昌邑路1500号
恒大佘山首府,37000,121.22586899999999,31.134892999999998,2015-04-25,12,松江,佘山,勋业东路300弄
荣信·虹桥世嘉,70000,121.40029799999999,31.179601,2016-03-26,7,闵行,金虹桥,虹梅路2159弄
融信绿地国际,35000,121.286185,31.21578,2015-07-08,3,闵行,华漕,盘阳路59弄
虹桥正荣中心,47000,121.32311399999999,31.208014000000002,2015-08-26,7,闵行,华漕,申虹路666弄8号楼(申贵路兴虹路)
恒大御景湾,48000,121.286501,31.324498,2016-04-02,10,嘉定,马陆,育英南街55弄
世茂佘山里,63636,121.18216781353,31.103262415967997,2013-11-20,4,松江,佘山,千新公路718弄
优山美地,16000,121.24449352494,30.838863944849,2016-05-14,8,金山,金山中部,红光路368弄
紫都上海晶园,78125,121.19876456183998,31.110436400654002,2010-05-08,10,松江,佘山,佘北公路389弄
浦江智谷商务园,13000,121.53008999999999,31.086862,2007-08-18,1,闵行,浦江,浦江镇联航路1188号
虹桥·正荣府,60000,121.28523999999999,31.164182,2017-04-01,7,青浦,徐泾,"徐和路165弄,联民路100弄"
金臣别墅,120930,121.279443,31.210418,2014-11-08,5,闵行,华漕,金光路801弄
金地艺境,13500,120.761123,30.822723999999997,2017-06-18,6,上海周边,嘉兴,"东方路,近正阳西路"
佳兆业城市广场,30000,121.281019,31.411469,2016-10-01,5,嘉定,嘉定镇,顺宁路501弄，启宁路421弄
西郊庄园马德里洋房,70000,121.289395,31.204206,2014-02-20,3,闵行,华漕,金丰路777号（金丰路保乐路交汇处）
华府樟园,95000,121.42059099999999,31.231556,2012-06-16,5,长宁,中山公园,凯旋北路1555弄60-74号
新江湾城首府别墅,92105,121.52214680152001,31.338956217066002,2013-08-30,5,杨浦,新江湾城,杨浦国秀路88弄（江湾城路和国秀路交汇处）
湖庭庄园,60000,121.02788400000001,31.136399,2010-03-28,17,青浦,朱家角,绿湖路999弄
大发融悦,41000,121.092693,31.141872999999997,2017-04-26,11,青浦,青浦新城,朱家角路158弄
帕缇欧香苑,40000,121.131918,31.146662,2016-07-22,9,青浦,青浦新城,外青松公路6666弄
绿地海珀风华,89285,121.241256,31.139721,2015-09-10,7,青浦,赵巷,业煌路128弄
棕榈滩高尔夫别墅,29853,121.55276599999999,30.833921000000004,2013-03-15,10,奉贤,海湾,"海马路3499弄,海马路4199弄"
碧桂园湖悦天境花园,19500,120.863794,31.037428000000002,2017-04-16,6,上海周边,其他,海南路99号
景瑞尚滨江,19500,121.52021951185,31.219437766683,2016-12-25,0,浦东,塘桥,浦明路1288弄10号
丽江复华度假世界,19500,100.22801899999999,26.930108,2017-10-28,0,上海周边,其他,云南省丽江市古城区玉泉路旁
大豪山林别墅,84210,121.26493039453001,31.174508384834,2018-01-01,4,青浦,徐泾,徐泾西路188弄
绿地双创中心,36000,121.51160389325001,31.319813498562997,2016-05-28,1,杨浦,新江湾城,国霞路258（号）
上置名人天地,45000,121.376972,31.407491999999998,2011-12-25,2,宝山,罗店,美兰湖路8弄
碧盈苑,45128,121.71641372618,31.051954447940002,2010-10-31,4,浦东,惠南,南六公路99弄20支弄159号
东海御庭,41898,121.779793,31.211321,2016-08-30,5,浦东,川沙,华夏东路5888弄
绿地海珀佘山,62962,121.18094199999999,31.094545,2016-10-24,7,松江,佘山,九江公路159弄
保利天鹅语,39215,121.24640469973,31.35584380891,2013-08-30,2,嘉定,嘉定新城,洪德路1380弄
蓝堡公馆商铺,29000,121.36096249519,30.737804171182,2011-12-01,0,金山,金山新城,卫清东路2961号
华泰中心,32000,121.32659,31.244131,2016-10-03,0,嘉定,江桥,金运路355号（金运路与鹤旋路交汇处 ）
融信铂湾,41500,121.239337,31.143984999999997,2016-03-30,4,青浦,赵巷,置鼎路889弄
远洋鸿郡,104395,121.372974,31.404965999999998,2015-10-17,5,宝山,罗店,抚远路699弄
移动智地,15000,121.17982840741001,31.153416603948997,2014-03-31,0,青浦,青浦新城,沪青平公路3938弄
御品园林,44000,121.27137309658,31.157698670012998,2014-09-26,5,青浦,徐泾,徐南路1188号
中展璞荟,64000,121.24718541545,31.063286874562003,2018-01-01,0,松江,松江新城,广富林路798弄
锦汇华庭,30000,121.16282700000001,30.895813,2012-03-18,3,金山,朱泾,众安街1088弄
