小区,count,lng,lat,上线时间,户型数量,区,地段,地址
康乐金街,40000,121.763722,31.123965999999996,2016-10-13,0,浦东,祝桥,南祝路388号（近南祝路）
华山夏都苑,130000,121.43754399999999,31.2134,2016-04-27,2,长宁,其他,幸福路211弄
上海国际研发总部基地,22000,121.41548700000001,31.321528999999998,2012-12-01,0,宝山,上大,沪太路2999号（近上大路）
华侨城苏河湾商铺,60000,121.486741,31.247584000000003,2013-09-16,0,静安,上海火车站,苏州路912号
鹏欣一品漫城一二期商铺,62000,121.50126855691002,31.123336231434998,2012-09-01,0,闵行,浦江,浦星公路568号
Opark花园办公墅,16500,121.34788578941001,31.331760519473,2016-04-15,0,嘉定,南翔,顺达路98弄28号(蕰北路南侧)
华东国际建材家居城,10000,120.91343,30.857088,2017-12-09,0,上海周边,嘉善,景明路28号
安信财富中心,18000,121.49480905665001,31.399546099682997,2014-04-01,0,宝山,淞宝,牡丹江路1248号
禹洲金桥国际商铺,40000,121.620228,31.260724,2013-01-17,0,浦东,金桥,金豫路50弄
中房晶华公馆,38000,121.528149,31.152240000000003,2015-04-20,0,浦东,三林,"东明路2600,2608,2612号等"
海盐合景天峻,13000,120.94385471164,30.547821495345996,2017-12-16,0,上海周边,嘉兴,百尺路与华丰路交叉路口
复旦软件园·智慧新天地,43000,121.55003520821998,31.282304699982,2013-05-19,0,杨浦,东外滩,隆昌路590、592号
同润十里洋坊商铺,50000,121.32328600000001,31.012686,2011-08-01,0,松江,松江新城,车墩镇影佳路123弄
上坤·上街,40000,121.34988231008002,31.425844377623,2015-11-15,0,宝山,罗店,塘西街299弄
森林里,24000,119.76993054549999,49.218031411674005,2015-09-09,0,崇明,崇明新城,建设镇秀水路77弄
地纬生活广场,65000,121.683723,31.200745,2014-03-08,0,浦东,川沙,新德西路100弄、荣川路528-554号（双）等
新华联国际中心,5312500,121.314777,31.20755,2016-04-05,1,闵行,华漕,泰虹路456弄（近申滨路）
览海国际高尔夫社区,31359,121.82715400000001,31.467391999999997,2009-12-30,7,崇明,陈家镇,"揽海路33弄,揽海路55弄"
嘉里不夜城,30000,121.46340982254999,31.25082956967,2010-06-28,2,静安,上海火车站,天目西路218号
古北香堤艺墅,42354,121.05043572578,31.115297720644,2015-08-11,9,青浦,朱家角,沙淀中路77弄（近珠溪路）
金臣汇,102325,121.27896799999999,31.209770000000002,2016-05-08,4,闵行,华漕,金杰路5弄（近幸乐路）
汇京国际广场,66000,121.42985900000001,31.202056,2012-10-24,1,徐汇,徐家汇,虹桥路777号
同济创园,28000,121.49774199999999,31.339032,2018-03-31,0,宝山,淞南,淞良路10号
咸塘商业步行街,30000,121.603144,31.043134999999996,2008-12-19,0,浦东,航头,沪南路5469弄
长兴海洋科技港,7800,121.76041699999999,31.362744,2015-08-22,0,崇明,长兴岛,江南大道1333号
乔爱庄园,35792,121.35357263115,31.088839087298002,2009-10-16,2,松江,新桥,松江明中路666弄
东原公馆,29000,121.120224,31.153516999999997,2017-02-24,1,青浦,青浦新城,公园路629号
嘉誉国际广场,35000,121.51511599999999,31.33502,2014-03-29,0,杨浦,新江湾城,淞沪路1660号（近殷行路）
旭辉浦江国际,35000,121.52073347407,31.083494656396,2012-09-26,0,闵行,浦江,闵行区联航路1650号（近恒南路)
金球怡云花园,65217,121.29164175217,31.213021684724,2011-05-21,4,闵行,华漕,运乐路288弄
嘉天下休闲广场,50000,121.32524593068999,31.296359312202,2010-04-30,3,嘉定,南翔,沪宜公路91号
万顺水原墅,60000,121.422629,31.048633000000002,2013-07-01,14,闵行,颛桥,都市路777弄
融创观澜湖公园壹号,20000,110.330404,19.916454,2018-01-31,6,上海周边,其他,海南海口市龙华区羊山大道39号观澜湖旅游度假区内
光大安石中心,65000,121.521302,31.262409,,0,杨浦,东外滩,霍山路398号（近大连路）
温莎庄园,65000,121.480877636,31.227550425262,2017-11-25,0,上海周边,其他,英国大伦敦斯劳
保亿风景水岸,27960,121.81978799999999,31.471058000000003,2015-05-10,9,崇明,陈家镇,揽海路169弄
璟储新和湾,17000,121.33711213132,31.456800147409,2015-04-18,0,宝山,罗泾,沪太路8399弄
吉陆广场,40000,121.28287406487,31.327080330818,2017-06-01,0,嘉定,马陆,崇教路19号
瀛通绿地大厦,40000,121.47736654008001,31.198151285275998,2011-04-10,0,黄浦,打浦桥,开平路88号(日晖东路555号)
骏丰国际财富广场,55000,121.50833,31.279513,2008-09-19,0,虹口,北外滩,大连路1599号
当代万国府MOMA,80000,121.436278,31.017913,2016-12-25,0,闵行,江川路,沧源路588弄
金领国际商铺,55000,121.63692531427,31.248831038309003,2017-04-25,0,浦东,唐镇,浦东锦绣东路5111弄（近川沙路）
苏宁天御国际广场,90000,121.386301,31.228064,2013-07-06,0,普陀,长风,丹巴路99号(近云岭东路)
硅谷商墅,30000,121.66893547931002,31.034190034899996,2012-08-01,0,浦东,新场,杨辉路800弄
新角里,20000,121.06420200000001,31.115469,2014-06-30,0,青浦,朱家角,祥凝浜路468-530号
上海名流国际商业街,45000,121.71868130898001,31.04967556297,2017-08-01,0,浦东,惠南,南六公路99弄2号
鹏欣一品漫城四五期商铺,50000,121.494565,31.119756,2012-09-01,3,闵行,浦江,芦恒路378弄
御涛园,90361,121.35804099999999,31.050486,2012-04-09,4,闵行,马桥,茜昆路518弄
印象钢谷,90361,121.3603089808,31.463577512464,2009-11-18,0,宝山,罗泾,潘泾路4333号（靠近金石路）
理想未来中心商铺,20000,121.46441100000001,30.916355,2011-05-31,0,奉贤,南桥,江海路388弄近南奉公路
鹏欣一品漫城三期浅山别墅,77966,121.500234,31.122571,2012-03-01,2,闵行,浦江,浦星公路568弄
山鑫城市广场,16800,121.35269690583999,30.735404147095,2007-11-02,0,金山,金山新城,卫清西路139-149号
平高世贸中心,31000,121.2421988167,31.012303038934,2014-09-30,0,松江,松江老城,中山中路79弄9号
金山工商联大厦,18800,121.352473,30.752421000000002,2016-03-10,0,金山,金山新城,龙山路295弄
连城1号,45000,121.437794,30.995516,2013-01-01,0,奉贤,西渡,沪杭公路228弄
市北新中新,40000,121.46501,31.30247,2014-02-01,0,静安,大宁绿地,寿阳路99弄
东张江1号,30000,121.733672,31.240717999999998,2015-12-01,0,浦东,川沙,环庆中路389、399号
韩村路商业街,30000,121.46917190091999,30.946524281261002,2011-11-10,0,奉贤,南桥,奉贤韩村路498号
高桥红坊,30000,121.580956,31.353215999999996,2014-12-06,0,浦东,外高桥,张杨北路5688弄等
百润时代,35000,121.930221,30.903357,2013-08-17,0,浦东,临港新城,申港大道133号（申港大道和山兰路交汇处）
