小区,count,lng,lat,上线时间,建筑类型,价格类型,显示价格,户型数量,区,地段,地址,ID
金隅大成郡,29000,121.27216299999999,31.410794,2018-01-30,高层,均价,均价,8,嘉定,嘉定新城,武乡南路259弄，武乡南路230弄,272906
中国铁建香榭国际,37800,121.44522099999999,30.993021999999996,2018-04-30,"叠加别墅,高层",均价,均价,8,奉贤,西渡,西闸公路与扶兰路交汇处,416419
正荣国领,41655,121.374995,31.413760999999997,2017-05-28,"独栋别墅,叠加别墅",总价,总价,6,宝山,罗店,抚远路1211弄,250294
昆山万科海上传奇,17222,120.96791699999999,31.187395000000002,2018-03-20,"小高层,花园洋房",总价,总价,4,上海周边,昆山,周同公路，近锦东路,416927
万科Mixtown,21000,121.084769,31.283520000000003,2017-11-25,"小高层,高层",均价,均价,15,花桥,花桥,金融大道355号,250688
融信铂爵,42000,121.08791699999999,31.141437,2018-03-31,高层,均价,均价,5,青浦,青浦新城,大盈浦路1500弄,411776
恒大海上威尼斯,3926,121.933926,31.721349,2017-12-24,"独栋别墅,联排别墅,双拼别墅,叠加别墅,多层,小高层,高层,花园洋房",总价,总价,22,上海周边,启东,堤顶公路,246309
信达蓝尊,44000,121.260976,31.06451,2018-01-19,高层,均价,均价,9,松江,松江新城,长水街277弄,414150
禹洲雍贤府,32000,121.522025,30.979903000000004,2018-03-31,"叠加别墅,高层",均价,均价,10,奉贤,金汇,大叶公路，近浦星公路,416406
禹洲府名廷,46000,121.385703,31.027477,,小高层,均价,均价,2,闵行,马桥,富国路199弄,417458
万业紫辰苑,39600,121.444699,31.405659999999997,2017-09-02,"多层,高层,超高层",均价,均价,1,宝山,杨行,江杨北路1568弄,218831
绿地·天呈,45112,121.246945,31.402737,2017-07-06,"叠加别墅,多层,高层",总价,总价,6,嘉定,嘉定镇,嘉唐公路169弄,411535
融创江南悦,15800,121.089242,30.836026,2017-12-16,"高层,花园洋房",均价,均价,9,上海周边,嘉兴,虹桥路，近平兴公路,429482
碧桂园·十里外滩,11500,121.59083600000001,31.734505,2018-01-12,"双拼别墅,小高层,高层",均价,均价,5,上海周边,启东,启隆乡永兴街260号,414613
UNICITY万科天空之城,59540,121.26365,31.180121999999997,2018-03-10,高层,总价,总价,4,青浦,徐泾,诸陆西路,414304
首创旭辉城,26000,121.20671999999999,31.419903,2018-03-08,小高层,均价,均价,4,嘉定,嘉定新城,汇源路518弄,389553
万科安亭新镇,34545,121.183929,31.275405,2018-02-25,"联排别墅,叠加别墅,多层,花园洋房",总价,总价,10,嘉定,安亭,安礼路399弄,400512
桐南美麓,30000,121.49376699999999,30.960655,2018-01-21,"叠加别墅,多层,高层,花园洋房",均价,均价,10,奉贤,南桥,广丰路，近金海公路,414415
海上时光,14000,121.203883,31.615213,2018-01-31,"小高层,高层",均价,均价,3,上海周边,太仓,港区碧云路与平江路交汇处,429255
同济东时区,87777,121.753947,31.153528,2018-04-10,"联排别墅,叠加别墅,小高层,高层",总价,总价,6,浦东,祝桥,航城三路288弄，航城四路318弄,263906
大发融悦四季,39000,121.15653477264,31.158755770503998,2018-01-07,"小高层,花园洋房",均价,均价,6,青浦,青浦新城,秀泽路515弄（汇金路秀泽路路口）,416343
御澜雅苑,43000,121.15321499999999,31.158965000000002,2017-12-31,"高层,花园洋房",均价,均价,3,青浦,青浦新城,秀泽路,416219
宝华帝华园,29800,121.58139690318,30.930245467568003,2018-01-16,高层,均价,均价,6,奉贤,金汇,南奉公路3111弄,417269
静安·慕舍,75000,121.461973,31.296815999999996,2018-01-01,高层,均价,均价,5,静安,大宁绿地,广延路1199弄,411368
东方颐城,30000,121.87970200000001,30.988657,2017-12-30,"联排别墅,叠加别墅,多层,花园洋房",均价,均价,4,浦东,临港新城,东大公路与崇实路交汇处,405856
泰禾大城小院,27000,121.70132696923001,31.405020210776,2018-02-03,高层,均价,均价,2,崇明,长兴岛,凤凰公路潘圆公路交叉口,417874
葛洲坝绿城·玉兰花园,42000,121.09700000000001,31.177132,2017-06-10,"叠加别墅,多层",均价,均价,8,青浦,青浦新城,清河湾路1699弄,253190
正荣御首府,24000,121.32538600000001,30.751565000000003,2017-03-04,"联排别墅,小高层,高层",均价,均价,14,金山,金山新城,龙轩路1998弄,252191
金科集美嘉悦,18000,120.96109512953001,30.916354472223002,2017-12-31,"小高层,高层",均价,均价,3,上海周边,嘉善,姚庄大道和兴学路交汇处,432607
M旭辉城M-CITY,18600,120.95927668773999,30.913371081631,2017-12-30,"多层,高层,花园洋房",均价,均价,3,上海周边,嘉善,姚庄大道兴学路路南侧300米,432546
中骏天悦,95000,121.407719,31.261274,2017-01-20,"多层,高层,花园洋房",均价,均价,7,普陀,真如,固川路166弄,414502
中粮南桥锦云,37000,121.491019,30.926322999999996,2018-07-30,高层,均价,均价,6,奉贤,南桥,德政路298弄,429246
佳兆业君汇上品,30000,121.20134399999999,31.202714,2017-09-09,"多层,小高层,高层",均价,均价,4,青浦,重固,崧建路339弄,412391
