小区,count,lng,lat,上线时间,建筑类型,价格类型,显示价格,户型数量,区,地段,地址,ID
碧盈苑,45128,121.716401,31.052034000000003,2010-10-31,独栋别墅，双拼别墅,总价,总价,4,浦东,惠南,南六公路99弄20支弄,201618
阜兴世纪公馆,80000,121.536121,31.230707000000002,2016-11-20,高层,均价,均价,4,浦东,塘桥,向城路29号,415027
湖庭庄园,60000,121.030499,31.133257,2010-03-28,独栋别墅,均价,均价,17,青浦,朱家角,绿湖路999弄,210038
悦立方商业广场,38000,121.35670019389,30.757538466063,2015-12-12,,均价,均价,0,金山,金山中部,龙翔路436弄、海芙路186弄等,423818
光明嘉域生活中心,27000,121.27063524786001,31.353911237759995,2016-08-27,,均价,均价,0,嘉定,嘉定新城,天祝路377弄,425177
乐活天地,35000,121.12006783721,31.194977939821,2016-05-08,,均价,均价,0,青浦,青浦新城,振盈路79弄,424147
绿地小米公社商铺,27000,121.67150530509,30.917591441869,2015-04-25,,均价,均价,0,奉贤,奉城,兰博路1189弄,428596
绿地长岛,12000,121.468122,31.799205999999998,2018-03-31,双拼别墅，多层，小高层，花园洋房,均价,均价,5,上海周边,启东,隆海路,252796
张江三湘海尚,66000,121.62931699999999,31.176665999999997,2018-04-27,高层,均价,均价,9,浦东,张江,绿晓路58弄,401053
万科虹桥云,44000,121.34225,31.157322999999998,2018-05-31,,均价,均价,7,闵行,七宝,新龙路1333弄25号,250202
临港首府,26955,121.912322,30.906097999999997,2018-06-01,独栋别墅，联排别墅，叠加别墅，多层，小高层,总价,总价,5,浦东,临港新城,竹柏路503弄,400955
同润金色橘苑,21000,121.814724,30.965134999999997,2018-04-28,多层，小高层,均价,均价,4,浦东,临港新城,严木桥路198弄,401085
象源丽都,71500,121.38345714943001,31.240603640697998,2018-03-28,小高层，高层,均价,均价,8,普陀,长征,真光路688号,220199
中环名品公馆,70000,121.402426,31.289671999999996,2018-07-10,高层,均价,均价,2,普陀,桃浦,古浪路188号,237712
绿城乌镇雅园,24000,120.51953200000001,30.729359000000002,2018-04-26,多层，小高层,均价,均价,11,上海周边,嘉兴,浦建路1463号,249104
禹洲老城里,33000,121.25701788273001,31.402255958854,2018-03-25,小高层，高层,均价,均价,4,嘉定,嘉定镇,柳湖路88弄靠近环城路,389632
盘古园府,35300,121.25046234062,31.344089361115,2018-03-02,高层,均价,均价,2,嘉定,嘉定新城,崇信路77弄,418008
象屿都城,23000,121.078346,31.297219000000002,2017-12-02,高层,均价,均价,7,花桥,花桥,金中路188号,86758
长泰西郊别墅,89136,121.29508200000001,31.096565000000002,2015-10-25,独栋别墅,总价,总价,14,松江,洞泾,泗砖南路1500弄,221148
毕加索花园小镇,17550,121.303372,30.806046000000002,2014-10-18,多层，小高层，花园洋房,均价,均价,7,金山,金山新城,康德路,249968
新华联国际中心,55800,121.314777,31.20755,2016-04-05,,总价,总价,2,闵行,华漕,泰虹路456弄（近申滨路）,413298
世茂璀璨时代,18500,120.825006,30.753768,2018-03-27,小高层，高层,均价,均价,2,上海周边,嘉兴,南溪东路与亚欧路交汇处（东北师大南湖实验学校对面）,438661
欣悦华庭,22000,121.736005,30.946763,2017-07-08,多层，小高层，高层,均价,均价,5,奉贤,奉城,新四平公路2378弄,417687
保利天琴宇,40000,121.27095,31.364281,2016-04-02,高层,均价,均价,9,嘉定,嘉定新城,远香湖路600弄,251689
万科翡翠滨江,266666,121.548222,31.254064,2015-10-15,多层，小高层，高层,总价,总价,10,浦东,洋泾,滨江大道399弄，昌邑路1500号,250372
佘山玺樾,52000,121.19783500000001,31.072094,2018-09-01,联排别墅，叠加别墅,均价,均价,16,松江,松江新城,灵竹路99弄,244601
佘山月湖山庄,57249,121.232216,31.107623999999998,2011-06-11,独栋别墅,总价,总价,8,松江,佘山,林荫新路255弄,237688
东方现代悦享城,35000,121.58838999999999,30.933154,2017-04-08,,均价,均价,3,奉贤,海湾,人民路239弄98号等,417948
骏丰玲珑坊,45000,121.280833,31.325564,2017-05-01,小高层，高层,均价,均价,15,嘉定,马陆,康年路208弄，康年路209弄,248172
太阳湖大花园,24256,120.88545781053999,31.092760673968,2016-04-15,独栋别墅，双拼别墅,总价,总价,3,上海周边,昆山,吴江区张园东路1551号（淀山湖大观园旁）,411834
紫樱阁,39800,121.12905043808,31.181367841841997,2018-01-08,小高层,均价,均价,3,青浦,青浦新城,崧泽大道9188弄,433945
嘉天下休闲广场,50000,121.32524593068999,31.296359312202,2010-04-30,,均价,均价,3,嘉定,南翔,沪宜公路91号,410619
盛世御珑湾,80000,121.52366699999999,31.324603000000003,2017-04-30,小高层，高层,均价,均价,9,杨浦,中原,闸殷路889弄,223235
崇明·三湘森林海尚,31000,121.84086200000002,31.465444,2016-05-28,联排别墅，双拼别墅,均价,均价,8,崇明,崇明其他,揽海路2500弄,401055
锦秋御尚,144444,121.39040800000001,31.331473,2016-04-30,联排别墅，多层，小高层,总价,总价,11,宝山,上大,锦秋路695弄,220578
合生海景1号,29000,121.359353,30.731734000000003,2017-04-29,高层,均价,均价,6,金山,金山新城,龙胜路69弄,244639
金山联东U谷,7000,121.32091499999999,30.842340999999998,2012-06-01,,均价,均价,2,金山,朱泾,夏宁路818弄62号,413260
静安康鑫家园,87000,121.45129216632,31.243958170644998,2018-02-24,小高层，高层,均价,均价,2,静安,其他,海防路58弄,434971
尼德兰花园,60000,121.58918,31.34113,2016-03-29,独栋别墅，叠加别墅，多层，小高层,均价,均价,18,浦东,外高桥,莱阳路3988弄1-32号,245544
合生东郊别墅,198940,121.606532,31.230297999999998,2009-05-15,独栋别墅,总价,总价,4,浦东,张江,翠柏路699弄,239219
嘉宝前滩后院,90000,121.519255,31.160784000000003,2016-07-28,双拼别墅，叠加别墅,均价,均价,3,浦东,三林,云台路1101弄,413813
润冠产业园,20000,121.17258236597,31.170809147068,2016-01-01,,均价,均价,1,青浦,青浦新城,崧复路777号,415447
绿地双创中心,36000,121.51160389325001,31.319813498562997,2016-05-28,,均价,均价,1,杨浦,新江湾城,国霞路258（号）,424083
浦江智谷商务园,13000,121.53008999999999,31.086862,2007-08-18,,均价,均价,1,闵行,浦江,浦江镇联航路1188号,413271
鹏欣一品漫城四五期商铺,50000,121.494565,31.119756,2012-09-01,,均价,均价,3,闵行,浦江,芦恒路378弄,410728
