小区,房屋数量,count,均价变动,lng,lat,地址,ID
阳光水岸,1,27193,-0.157000,120.562313,31.871086,东环路330号,889578
万科金色梦想,7,11333,0.011694,120.690482,30.791467,成秀路355号,890263
荣盛阳光名邸,2,35171,0.029483,120.642937,31.370070,阳澄湖中路128号,888873
嘉和丽园,2,14278,-0.133060,120.625742,31.384743,春申湖中路592号,888837
胥江一号别墅(别墅),6,13118,0.019436,120.493069,31.241010,胥欣路221号,887902
中交美庐城,10,7764,-0.069487,120.568137,32.420988,海阳北路，近惠民路,926272
南山金城1958,1,16338,0.106052,120.556378,31.365314,城北西路1958号,885361
锦绣江南(别墅),1,9333,-0.226504,120.591108,31.852675,镇中路,889394
锦盛苑,3,10406,0.080694,120.652442,30.886753,中心大道1689号,887301
万城明月公馆,47,10807,0.103799,120.669092,30.522085,广顺路，近联合路,917184
香溢花园,2,31200,0.369119,120.642723,31.244259,东吴南路88号,887646
中海御景湾,1,19217,0.271386,120.551447,31.378433,虎殿路,885365
远洋公寓,1,5200,0.114445,120.412617,31.962943,长江中路,889600
绿景苏州公馆,21,11162,0.030217,120.601576,31.220431,塔韵路199号,1002470
宝石花园,96,9110,0.176757,120.329400,30.780567,维多利大道,939216
招商依云水岸(别墅),63,15541,-0.199670,120.664875,31.375523,阳澄湖东路98号,888906
江海新村,2,7177,-0.069014,120.434499,31.964680,中兴南路,889360
佳源罗马都市,15,11249,0.096350,120.549718,30.637551,复兴北路128号,892544
盈都君悦,16,10516,0.022135,120.396764,30.360175,启潮路48号,892029
华安豪庭,80,4845,0.024060,120.695720,32.460427,红旗东路,995408
金都花园,2,9788,0.186143,120.270867,30.858670,富民中路120号,939043
永金公寓,2,13144,-0.061118,120.629900,31.358798,齐陆路10-3号,888928
西苑公寓,1,9357,-0.049080,120.678772,30.523563,联合路323号,891565
西门北村,7,11596,0.085985,120.544705,31.871761,龙须弄，近梁丰路,889530
金都花苑,2,7500,0.016536,120.442986,31.944232,晨丰公路，近勤政路,889370
绿洲华庭,4,11510,0.056157,120.639312,30.908196,舜湖西路，近宝龙桥路,887313
海悦府,295,12579,0.066459,120.462865,30.444866,修川路,892096
万科金色里程,3,37584,-0.009330,120.550195,31.372493,藕巷街6号,885363
紫金花园,2,11111,0.215646,120.560297,30.643815,茅盾东路5-38号,993046
星岛仁恒,1,28000,,120.684820,31.294213,通达路1818号,888735
望河花园,1,9247,0.012150,120.693734,30.524965,联塘路,891535
仁文公寓,1,22857,,120.659825,31.309064,东环路930号,888409
红旗新村,6,27849,0.007656,120.613326,31.306832,三香路40号,885938
阳光家园,1,8715,-0.033995,120.421369,30.871575,人瑞路889号,939314
御景豪庭,56,9287,0.090629,120.539980,31.016826,商业街315号,887133
旭辉郎香郡,8,10696,0.076613,120.694385,30.757483,育英路，近秀园路,926311
太湖花园,3,16771,0.380451,120.108034,30.901814,太湖路699号,939142
融创太湖印,22,8510,-0.002987,120.119784,30.949183,震泽路,994850
蓝湖湾,16,12936,-0.035605,120.537879,31.855617,暨阳湖大道,889409
德鸿练溪上郡,60,6839,0.022101,120.420436,30.720260,迎宾路289号,939222
旺角维多利亚花园,1,12400,,119.911700,31.025707,花菇山路,939560
西山一品商务中心,2,7962,-0.004650,120.691835,30.534672,工人路218号,892152
白领公寓,2,18031,0.003406,120.554828,31.284946,枫瑞路178号,886556
涵月楼花园,3,24951,0.296830,120.409367,31.092111,雨花路,888094
姑苏金茂府,3,42647,-0.155929,120.595284,31.313455,金门路,885501
香榭假日山庄,1,24615,0.036377,120.524727,31.279587,金山路,887889
东茂商业广场,90,10844,-0.031127,120.647267,30.909754,舜湖西路，近西环路,887365
金星花苑一区,1,23622,,120.561958,31.435225,中市路,889050
钱江君庭(北区),5,12780,-0.014953,120.567984,30.408870,中新路79号,914291
时代摩尔公寓,1,7999,0.028584,119.985263,30.553383,北湖东街748号,939415
当代万国府ΜΟΜΛ,3,32064,-0.180117,120.625190,31.339094,苏站路,915259
紫竹园,2,12535,0.164924,120.572151,32.385457,健康南路45号,918436
1号公馆,66,8121,0.007581,120.589161,30.632833,圆明路403号,992977
碧桂园,173,12425,-0.040755,120.468703,31.379205,华通路299号,886669
苏苑二村,1,14814,-0.234142,120.648014,31.279700,吴中东路66号,887582
中南世纪城,2,14382,0.009263,120.646623,31.135135,中山南路，近长板路,887080
利铭花园,64,7227,-0.044082,120.268921,30.725610,莫墙线,995195
星湖湾,1,12531,-0.123221,120.596915,30.638033,环园路176号,993036
仓街28号小区,2,14000,-0.005117,120.644244,31.317454,仓街28号,885868
碧桂园翡翠湾,17,9536,0.034024,120.081540,30.844649,田园路，近二环西路,1030268
恒达星湖湾,9,11000,-0.064069,120.668504,31.157607,运东大道,887010
东湖新村,4,24899,0.363883,120.635108,31.232106,盛城路,887451
首开幸福广场,1,11111,,120.628834,31.227646,邵昂路，近兴昂路,1002469
中良新塍花园,14,6314,-0.304138,120.616915,30.795233,兴镇路,780835
攀华国际广场,3,8038,-0.084777,120.576089,31.844886,东南大道,889454
如皋碧桂园,34,5948,-0.052572,120.569095,32.414074,海阳北路,918381
汇金新城,1,13147,-0.110386,120.584974,31.875249,长泾路,889349
绿洲华庭(别墅),1,28581,0.028956,120.640103,30.907438,舜湖西路,887359
绿都锦苑,1,8624,0.019359,120.549814,30.627916,校场西路288号,892486
万汇广场,41,8083,-0.011096,120.083165,30.869895,红旗路1188号,939160
汇丰新村,40,6358,0.195478,120.546360,30.626085,校场西路,892465
西塘小筑,40,26507,0.030010,120.630167,31.282214,西塘北巷12号,887630
江锦云庐,6,7347,-0.000829,119.900943,30.998919,紫金路,1006348
百合花园,23,9178,0.021037,120.563107,30.645698,中山东路,892429
吉祥一区,2,11200,0.317647,119.974532,30.542174,吉祥街,939378
新南浔孔雀城,626,11231,-0.011438,120.425475,30.843790,联谊路,995198
大运城,2,14194,0.337716,120.541454,31.262816,中山东路88号,887970
何山花园,1,16454,-0.003271,120.568849,31.307137,邓尉路288号,420304
人民新村,2,14955,0.035385,120.110047,30.880024,人民路432号,939118
苏州城市生活广场,1,10289,-0.215832,120.614273,31.348970,平泷路，近花莲路,885448
恒润新新家园,2,18807,0.071350,120.577805,31.323525,新庄西路,885459
高尔夫花园(别墅),1,64359,0.063793,120.696699,31.300098,高和路,888750
立新漾滨春天,1,11238,-0.024225,120.652205,30.911962,中心大道2699号,887307
南门新村,2,14515,-0.168048,120.632773,31.298202,竹辉路，近人民路,886207
幸福新村,4,9762,0.058888,120.573222,30.633008,幸福路，近振福路,993037
大自然城市花园,9,10112,-0.005801,119.925174,31.011068,解放东路129号,939461
赞成学士府,7,9575,0.010469,120.133449,30.882939,二环东路,939201
民乐小区,4,21754,-0.053572,120.002881,30.545069,武源街,939399
大新新村,1,14926,-0.346469,120.632294,31.321166,大新巷,885701
光福锦泽苑,1,13572,-0.055479,120.398108,31.305591,塔山路6号,887983
融创81栋长岛,2,15288,-0.038303,120.562909,31.423537,春秋路5号,889062
月浜一村,1,12897,0.014433,120.640896,31.276071,月浜街,887673
君御豪庭,1,8845,-0.195470,120.575346,32.383957,福寿路303号,918358
绿地中心泊珑湾,1,14861,0.073350,120.606899,31.136967,东太湖大道9999号,886855
豪天花苑,225,6481,0.022940,120.591509,32.110665,长江东路,918311
万丽广场,1159,11334,-0.013560,120.690858,30.764750,秀园路698号,991005
宝马花园,30,7201,0.161508,120.442023,30.527477,工农路999号,892543
宏坝B区,8,8029,0.397563,120.585543,32.394269,宁海东路,918319
伟业银座,5,9010,0.036404,120.668298,31.167906,云梨路,887032
湖畔御园,18,9024,-0.010841,120.643820,31.774193,西凤路,801523
华美花园,1,16584,0.253537,120.519204,31.370016,文昌路277号,886678
德尔金色摩纺,6,12878,0.098337,120.647708,30.903486,市场路1号,887353
青成名苑,17,8542,0.018292,120.393387,30.584109,青石路16号,1034807
金色华府,11,9508,-0.008819,119.925769,31.026080,长城路，近中央大道,1012330
康桥丽都(别墅),1,43065,0.377510,120.634586,31.375154,嘉元路663号,888925
伊顿公馆,47,9750,-0.009573,120.428605,31.956734,中圩路，近中港南路,943754
新都汇,1,10800,0.045600,119.933771,31.016721,县前东街,939575
信达香格里,5,10466,-0.004764,120.692695,30.761446,秀园路398号,890276
湖畔佳苑,65,40000,0.074143,120.590856,31.262451,学府路189号,886652
旭辉朗沁花园,9,32867,0.030834,120.524928,31.351166,星丰路，近星宇路,886714
恬园,4,11954,-0.002170,120.312883,31.130880,金庭路170号,888120
御湖天誉,13,10443,-0.004827,120.125044,30.947209,安居路66号,939195
明华月亮湾花园,3,11487,-0.226192,120.433033,30.863374,嘉业南路318号,939274
濮院佳源中心广场,2,9661,-0.106171,120.610157,30.681838,凯旋路,892542
合景峰汇六期,2,16817,-0.104849,120.607138,31.371959,文灵路，近沈思港路,888952
锦瑞苑,5,6747,-0.237277,120.445176,30.885081,便民路449号,939255
东湖金悦(别墅),97,9176,-0.035357,119.990993,30.990111,滨江大道,946358
水岸华庭,1,12683,0.024475,120.535895,30.635933,和远路，近和悦路,993027
人民南路小区,1,15560,-0.029107,120.634883,31.290936,人民南路,886244
宏和珈都,106,5081,0.051386,120.267702,32.670016,文化路，近白古线,1020805
绿地家园,4,10123,-0.159941,120.676050,30.688721,绿园路,890239
西小区,3,8500,-0.192936,120.686699,31.169109,云梨路,887018
金海大厦,2,10000,-0.133449,120.587120,30.626387,校场东路1572号,993007
梅花新村,6,32172,0.111159,120.637143,31.344447,官渎路,885411
中央花园,2,9575,0.125838,120.629583,30.673005,兴旺路19号,926331
唐韵花苑,130,9779,-0.032560,120.623420,30.795529,兴镇路，近虹桥路,991003
狮山当代MOMA,22,18303,-0.096498,120.538871,31.283342,竹园路，金枫路,886640
锦溪江南美墅(别墅),1,9739,0.201814,120.024239,30.671625,建设路1号,939058
高桥阳光城,12,11664,0.094534,120.574273,30.547356,乌镇大道，近高铁大道,998685
佳和玫瑰园,2,6493,0.230586,120.282879,30.834109,潘塘路,939239
海上湾(别墅),5,29686,-0.149682,120.163453,30.873685,蜀山路1788号,938997
丽景苑,8,37159,-0.209741,120.638735,31.314705,干将东路636号,885861
香山花园,1,12500,0.131631,120.412088,31.231698,校场路,888014
金润玺景苑,3,10273,-0.063366,120.637360,32.403794,中山东路，近如泰运河大桥,1030932
桃园新村,5,9134,-0.038627,120.606102,32.305125,园景路,918402
新城吾悦广场,30,20712,0.212889,120.595896,30.634163,振兴东路439号,993033
中南新村,3,8792,0.140145,120.438877,31.955253,中南路,889633
绿地太湖城,4,14021,0.077295,120.605416,31.132782,东太湖大道8899号,886853
曙光苑,1,21976,-0.084923,120.576283,31.307966,滨河路,886527
中兴花园,3,14322,0.399355,119.977802,30.549196,中兴北路126号,939448
东郊花园,6,13489,0.304298,120.646509,32.406481,贾公路1号-60号,918287
华庭现代城,2,8750,,120.698095,30.516210,海昌路,890671
银杏苑,4,32526,0.385241,120.591122,31.313241,金门路919号,885605
太湖明珠南泊湾,38,10111,0.141522,120.411374,30.962085,环湖路,887198
五峰山枫林山居(别墅),2,15151,0.025101,119.585216,30.602462,306省道,989734
嘉园,2,86250,0.066822,120.643532,31.302637,南石皮弄7号,886158
招商小石城香樟园,1,13523,-0.323572,120.620820,31.222845,梧桐街，近吴港南路,887643
龙湖苑,4,4613,-0.004072,120.188990,30.717432,东栅路,939268
新湖小区,1,5344,-0.004072,119.916880,31.047480,忻湖路,939577
星光耀花园,19,11675,-0.004196,120.552755,31.361465,虎池路1588号,885364
秀洲小区,5,8005,0.038212,120.695683,30.755869,秀园路128号,890289
花样年太湖天城,22,9704,0.011986,120.423700,31.222382,环太湖大道128号,505193
海上湾,5,11042,-0.004072,120.163551,30.873112,蜀山路1788号,938998
宏博金海岸,3,5416,0.059695,120.505874,32.553297,迎宾路116号,917894
海宁江南世家,10,9174,-0.018355,120.699938,30.499938,海昌大道,892083
玫瑰半岛花园,1,9954,-0.004550,120.415563,30.862489,年丰西路99号,939271
春江花苑,8,10394,0.098763,120.630413,30.496143,庆东路，近硖斜路,925378
康桥名园,8,9278,-0.028755,120.453944,30.448584,开元路,890957
文苑小区,6,6532,-0.000658,120.121842,30.869363,外环东路,939167
山湖如归苑,1,10333,-0.032219,120.694496,31.162969,绣湖东路588号,887026
金科廊桥水岸,4,13736,0.193501,120.643321,31.127697,思贤路，近鲈乡南路,802377
国际公寓,8,8467,0.041323,120.630826,30.908955,西二环路,887292
智富城MIMON,20,6961,-0.004661,120.695384,30.765529,秀清路626号,890325
紫薇花园,3,10168,-0.051958,120.680328,30.521911,文宗路8号,892014
翰林世家,1,10854,-0.147368,120.103623,30.902323,太湖路899号,939000
南环东路3号小区,4,27272,-0.003289,120.655683,31.290033,南环东路3号,886378
锦绣家园,4,5597,-0.188363,120.584717,32.109432,纬三路18号,918352
新城金郡1期,14,28417,-0.106140,120.630045,31.225695,邵昂路66号,887645
江风海韵,32,6069,0.002742,120.577505,32.107194,长江东路,918341
龙栖湾国际花园,1,6888,0.319188,120.578090,32.284829,育贤路，近光明路,926271
向阳新村,3,9842,-0.000498,120.553259,31.871107,梁丰路，近河东路,889546
佳兆业君汇上品花园,4,21245,0.398631,120.590238,31.388877,兴业路,888969
锦绣江南,18,13986,0.050676,120.608934,31.075803,同心西路88号,887128
阳光水榭花园(50-94幢),1,14202,-0.015118,120.633309,31.255132,东吴南路，近石湖西路,887657
时代广厦,15,9422,0.045611,120.693782,30.528707,海昌路192号,891426
开元名都,28,11546,-0.071161,120.676821,30.498522,江南大道2388号,892110
众盛阳光嘉园,1,10833,0.004358,120.672516,31.186717,运东大道，近江陵东路,887036
招商依云华苑,4,13402,-0.098860,120.603646,31.395123,广济北路，近安元路,889003
书香名苑,6,10095,0.101484,120.686535,31.542661,新阳大道65号,885109
西门南村,2,13139,-0.071963,120.544422,31.870541,长安中路,889531
海安7星首府,5,6395,0.048762,120.500605,32.540343,黄海大道东19号,926348
中梁秀湖壹号院,21,9871,-0.048834,120.685475,30.780036,秀园路,890333
中央公园城(二期),2,9192,-0.022453,120.680716,30.899405,杨扇路，近目澜路 ,887351
鑫苑鑫城,1,12533,0.029648,120.642035,31.427915,南天成路,889143
碧桂园翡翠湾,10,13122,0.051077,120.558458,31.854055,暨阳湖大道，近河西南路,889642
禧悦,200,23380,0.000935,120.570238,31.297512,滨河路999号,886612
康桥名城,1,9264,-0.017978,120.680393,30.517897,文宗南路18号,890941
招商雍华府,10,36377,-0.021889,120.535459,31.276886,金枫南路8号,887920
格林悦城花园,1,10309,-0.045937,120.683525,31.189091,淞兴路2号,988071
丽景佳苑,1,7439,0.027912,120.457880,32.540237,永安北路,917915
溪山美墅,2,9561,-0.112100,119.986081,30.531109,云岫南路459号,939428
梦享城,486,11151,0.039869,120.083228,30.870870,红旗路，近二环西路,1033222
世纪花苑,6,7422,-0.022082,120.557504,30.648721,庆丰北路183号,798204
绿城御园(别墅),2,25257,-0.004072,120.080533,30.905083,青铜路1739号,939082
金色港湾,14,11361,-0.049808,120.455406,30.454675,修川路,798198
恒熙湖庭,3,25391,0.124334,120.685565,31.288445,通达路1988号,888703
南方大厦,66,7621,-0.050336,120.568514,30.634042,永兴路2号,993022
中南世纪城(别墅),2,13600,,120.648475,31.134923,中山南路,887086
万城理想公馆,32,10408,-0.021069,120.667362,30.531750,硖仲路，近双联路,917054
金茂花苑,1,8394,-0.093244,120.367150,30.639654,河山大街132-138号,926330
姑苏院子,1,35000,-0.045020,120.592866,31.322892,西园路66号,885620
豪杰翡翠湾,5,10168,0.031352,120.646887,30.790762,嘉铜公路,795480
锦昌苑,1,33088,0.174625,120.570398,31.300361,狮山路100号,886580
通和家园,1,14457,0.220309,120.124067,30.879191,龙湾路196号,946357
禾旭华府,1,5127,0.048722,120.173321,30.788846,袁家汇路,939233
中栋名都,1,16156,-0.137110,120.696121,30.529087,水月亭西路,891945
瑞丰大厦,2,9880,0.249937,120.569165,30.636486,润丰步行街东68号,993026
佳源都市,90,9781,0.009380,120.080131,30.850406,佳园路,939033
合景领峰,5,16104,0.055881,120.534404,31.279879,金枫路268号,887755
金科世界城,14,7191,-0.280825,120.553923,32.381147,宁海西路168号,926280
锦安小区,1,11330,-0.058146,120.635733,31.170290,锦业路725号,886909
祥符寺巷1号院,1,16031,-0.133419,120.630483,31.322943,祥符寺巷1号,885794
富源花园,2,7249,0.059397,120.542708,30.848782,广场路,887369
金水苑,7,8535,0.028851,120.594241,32.105796,新城经二路,918349
悦湖美郡,2,9910,-0.022527,120.541850,30.925854,镇南路958号,800130
欧洲花园,2,25985,0.397014,120.672112,31.297077,通园路668号,888396
天顺花苑,2,5800,,120.577823,32.107881,长江路，近通江路,926268
东方时代广场,1,10181,,120.676351,31.472838,珍珠湖路，澄阳路,924925
新城市花园,4,10666,0.203294,120.674372,30.540978,洛隆路,891638
旭辉朗香郡,4,13035,-0.078267,120.527604,31.351563,星宇路,886716
佳兆业悦峰,1,23031,0.386157,120.565539,31.285276,塔园路99号,886572
招商雍和苑,8,29370,0.388078,120.427992,31.345302,科发路,886763
祥云花园,3,8460,-0.019801,119.708568,30.627744,玉馨路,939704
汇金广场,2,6205,-0.140233,120.592943,32.111819,长江东路,918328
凤凰二村,6,7255,-0.053879,120.099150,30.883850,青铜路,938978
苏州义乌国际商贸城,1,18518,-0.132768,120.619620,31.339117,苏站路,885393
港澳桂苑,1,14468,-0.002509,120.638501,31.250467,天灵路111号,887467
虹桥新村,1,4471,-0.014838,120.645903,31.821350,虹桥路，近南京路,889315
金色港湾,30,8561,0.002453,119.906528,31.014295,道园路,939512
森松花园,1,5892,0.106951,120.589633,32.096776,华江大道,918387
滨江丽景,4,10302,0.011447,120.390475,30.866905,适园西路999号,939220
新南浔孔雀城(别墅),57,9303,-0.273864,120.425926,30.844729,联谊路,995199
新亚旭景园,1,9398,0.036392,120.683304,30.913962,红安路58号,887340
旭辉朗香郡,2,10019,-0.023026,120.694416,30.757351,秀园路,791966
得力御龙湾,34,8113,0.025480,119.905726,31.042248,画溪大道2689号,939463
融创太湖印(别墅),16,9020,0.001499,120.120611,30.947999,震泽路,994849
优优学府,47,11995,-0.037039,120.174538,30.854018,草荡漾路，近小山路,1033219
名城花苑,16,9420,,120.454213,30.536459,青阳东路,797225
景瑞望府,1,14243,0.159193,119.899424,31.030097,龙山大道888号,939522
幸福家园,2,7501,-0.037222,120.600489,32.178692,迎宾路,918574
西城时代,2,9055,0.009678,119.877205,31.012848,滨海路,939564
观景府,17,9091,-0.006193,120.435301,30.853436,嘉风路,939232
金庭花园北区,3,7203,,120.318469,31.139365,东园公路115号,888109
如意新村,3,5714,0.067486,120.669123,30.915137,如意路,887320
