小区,房屋数量,count,均价变动,lng,lat,地址,ID
愉园,50,195652,0.0733773,121.455156,31.218964,淮海中路1350弄1-18号,74891
沧盛苑,10,25401,-0.0457267,121.32205800000001,31.112301000000002,盛富路180弄,130297
南郊中华园,58,45405,0.0180493,121.58778999999998,31.052834999999998,航鹤路1699弄,202031
金山东林苑,49,20000,0.046244,121.17501399999999,30.900532000000002,东林街,516416
南秀雅苑,6,43752,-0.0315079,121.398587,31.300944,鄂尔多斯路98弄,865408
象屿鼎城(公寓),263,61956,0.00335228,121.692255,31.193408,华夏二路728弄,405732
美琪花苑,38,25000,0.00555064,121.44164099999999,31.098328000000002,虹梅南路3001号,186344
芙蓉一村,46,12307,0.0189601,121.01521899999999,30.898896,朱枫公路9295弄,366151
晋元里,49,80857,0.00998026,121.444414,31.241506,余姚路321弄,3241
康林公寓,15,28265,-0.044229500000000005,121.587456,31.109873999999998,康沈路2132弄,7780
水云庄园,10,9510,0.0252695,120.95171,30.546043,长安北路488号,890491
兴国路新里,5,184228,,121.444116,31.21515,兴国路,321753
绿地理想家园,11,14024,-0.043513800000000005,121.0845,31.291125,金中路145号,883853
伊顿公寓,74,60204,0.139656,121.51036,31.283814000000003,四平路1147弄,3821
明华月亮湾花园,18,15312,1.5426799999999998,120.43303300000001,30.863374,嘉业南路318号,939274
真光新村第六小区,31,52178,-0.029358,121.3893,31.258251,铜川路1899弄,820430
虹瑞公寓,5,51592,-0.00164867,121.48522700000001,31.292328,广灵四路168弄,4386
城市公馆,65,47712,-0.0485912,121.325856,31.314770000000003,栖林路302弄,862117
殷行路310弄小区,6,53311,0.042289,121.545601,31.334938,殷行路310弄,11437
宫宵公寓,40,17279,0.0100777,121.169298,31.297846000000003,泽普路292弄,8910
天环苑,108,33116,-0.00808722,121.74495300000001,31.176684,江晖路436弄,243957
永康路165号小区,17,114160,0.00718861,121.462246,31.216224,永康路165号,183945
源城锦翠苑,124,65055,-0.020208700000000003,121.50518100000001,31.157718,灵岩南路499弄1-62号,741
黄陵小区,123,58040,0.00458676,121.43290800000001,31.268946000000003,黄陵路151弄1-116号,12547
新院村,24,17941,-0.011896200000000001,121.52968999999999,30.844571000000002,奉炮公路432弄,820177
阳光威尼斯四期(公寓),139,50031,-0.014050899999999998,121.37706200000001,31.266552,祁连山南路2727弄，金鼎路1600弄,1025760
幸福第二公寓,23,52777,0.009661,121.444667,31.310285999999998,场中路2950弄,2932
三星苑,34,34000,0.00123682,121.20615,31.018041999999998,乐都西路1155弄,8759
金域蓝湾,7,11678,0.186006,120.52653799999999,31.297521999999997,金山路，近湘江路,887782
中奥美泉宫,37,17811,0.0144094,120.07658899999998,30.920657000000002,弁山大道1818号,939207
东方别墅,109,102249,0.0340298,121.61506999999999,31.230534000000002,金桥路3219弄，金桥路3221弄,1026170
青杉路200弄小区,14,43666,0.025350499999999998,121.37102800000001,31.182318,青杉路200弄,178355
中南君悦府,24,24250,0.5203760000000001,121.14421499999999,31.463503000000003,上海路，近东亭路,946499
上上海花园,10,8702,0.17615899999999998,121.224658,31.617245,龙江路,892786
谈中路223弄小区,5,33074,-0.0540827,121.539332,31.072108,谈中路223弄,866342
