小区,房屋数量,count,均价变动,lng,lat,地址,ID
万科金色梦想,7,11333,,120.690482,30.791467,成秀路355号,890263
胥江一号别墅(别墅),9,13725,,120.493069,31.241010,胥欣路221号,887902
嘉和丽园,7,11824,-0.006240,120.625742,31.384743,春申湖中路592号,888837
荣盛阳光名邸,2,35507,,120.642937,31.370070,阳澄湖中路128号,888873
中交美庐城,13,7375,,120.568137,32.420988,海阳北路，近惠民路,926272
柳桥长安华府,3,10561,,120.456736,30.448205,修川路630,925374
宝带一村,1,14018,,120.647454,31.272766,宝带东路,887437
香溢花园,3,37978,,120.642723,31.244259,东吴南路88号,887646
锦盛苑,4,10406,,120.652442,30.886753,中心大道1689号,887301
万城明月公馆,32,10978,,120.669092,30.522085,广顺路，近联合路,917184
得力浅水湾,1,8235,,120.098930,30.858659,港南路200号,938957
正荣华府,1,17037,,120.539317,31.270947,金枫路699号,887922
中交璟庭,1,11538,,120.622607,31.147016,秋枫街，近高新路,886862
新世纪花苑,1,9803,,120.116371,30.874309,环城东路47号,939179
公园天下,2,42222,,120.603630,31.285809,桐泾南路28号,886010
泰南路2号小区,1,15122,-0.054623,120.615737,31.298140,泰南路2号,886048
新枫公馆,2,3330,,120.518929,31.295665,观音路369号,887892
绿景苏州公馆,17,11075,-0.014066,120.601576,31.220431,塔韵路199号,1002470
天翔花园,1,33070,,120.673873,31.322001,苏绣路，近星桂街,888422
置信公寓,3,7058,,120.680564,30.763697,洪高路1507号,1012475
城市水岸,1,14945,,120.666975,31.297083,文萃路399号,888311
宝石花园,62,9041,0.001024,120.329400,30.780567,维多利大道,939216
盈都牡丹城,2,7500,,120.678911,30.540839,洛隆路282号,891812
招商依云水岸(别墅),102,15647,0.002756,120.664875,31.375523,阳澄湖东路98号,888906
树诚望湖壹号,2,12500,,120.357805,30.432396,米兰路，近锦绣路,952793
如皋万都广场,2,10750,-0.022727,120.560679,32.391634,益寿路502号,1010385
江海新村,5,5818,-0.091079,120.434499,31.964680,中兴南路,889360
嘉宝花园一期,1,25416,,120.646847,31.275758,迎春路174号,887501
佳源罗马都市,20,11084,-0.001599,120.549718,30.637551,复兴北路128号,892544
盈都君悦,7,14374,0.000174,120.396764,30.360175,启潮路48号,892029
华安豪庭,112,4857,-0.006545,120.695720,32.460427,红旗东路,995408
永金公寓,1,13000,,120.629900,31.358798,齐陆路10-3号,888928
西苑公寓,1,8620,,120.678772,30.523563,联合路323号,891565
