小区,房屋数量,count,均价变动,lng,lat,地址,ID
万科金色梦想,14,11333,0.011694,120.690482,30.791467,成秀路355号,890263
胥江一号别墅(别墅),23,12963,0.007383,120.493069,31.241010,胥欣路221号,887902
荣盛阳光名邸,1,34667,0.014741,120.642937,31.370070,阳澄湖中路128号,888873
虹桥世家,2,15224,-0.055479,120.595507,31.310827,虹桥路6号,885517
中交美庐城,7,7653,-0.082814,120.568137,32.420988,海阳北路，近惠民路,926272
南山金城1958,1,15331,0.037876,120.556378,31.365314,城北西路1958号,885361
锦绣江南(别墅),1,9333,-0.226504,120.591108,31.852675,镇中路,889394
香溢花园,2,31789,0.394955,120.642723,31.244259,东吴南路88号,887646
锦盛苑,5,10406,0.080694,120.652442,30.886753,中心大道1689号,887301
太湖临湖湾,3,12923,-0.159698,120.459469,31.133029,腾飞路605号,888059
万城明月公馆,56,10382,0.060438,120.669092,30.522085,广顺路，近联合路,917184
新世纪花苑,2,10112,-0.276526,120.116371,30.874309,环城东路47号,939179
公园天下,2,43602,-0.011911,120.603630,31.285809,桐泾南路28号,886010
中海御景湾,1,16580,0.096924,120.551447,31.378433,虎殿路,885365
绿景苏州公馆,36,10981,0.013510,120.601576,31.220431,塔韵路199号,1002470
置信公寓,2,11735,0.005957,120.680564,30.763697,洪高路1507号,1012475
宝石花园,154,9141,0.180719,120.329400,30.780567,维多利大道,939216
招商依云水岸(别墅),55,15565,-0.198465,120.664875,31.375523,阳澄湖东路98号,888906
江海新村,3,8000,0.037678,120.434499,31.964680,中兴南路,889360
佳源罗马都市,16,11029,0.074846,120.549718,30.637551,复兴北路128号,892544
盈都君悦,14,11123,0.081057,120.396764,30.360175,启潮路48号,892029
华安豪庭,71,4902,0.035952,120.695720,32.460427,红旗东路,995408
金都花园,4,8744,0.059637,120.270867,30.858670,富民中路120号,939043
永金公寓,2,13694,-0.021830,120.629900,31.358798,齐陆路10-3号,888928
嘉华国际,2,11176,-0.193825,119.966594,30.532709,新兴巷,939380
翠坊北街小区,1,18806,0.343339,120.524494,31.258633,翠坊北街,887729
金磨华庭,1,4181,-0.019005,120.579745,32.288813,育贤南路，近如港公路,926277
西门北村,14,10064,-0.057431,120.544705,31.871761,龙须弄，近梁丰路,889530
金都花苑,1,7500,0.016536,120.442986,31.944232,晨丰公路，近勤政路,889370
绿洲华庭,4,11510,0.056157,120.639312,30.908196,舜湖西路，近宝龙桥路,887313
海悦府,435,12771,0.082687,120.462865,30.444866,修川路,892096
万科金色里程,4,38000,0.001634,120.550195,31.372493,藕巷街6号,885363
紫金花园,2,11111,0.215646,120.560297,30.643815,茅盾东路5-38号,993046
富强新苑,1,11515,-0.051405,120.548591,31.369048,城北西路,885355
望河花园,1,9247,0.012150,120.693734,30.524965,联塘路,891535
星岛仁恒,1,28000,,120.684820,31.294213,通达路1818号,888735
红旗新村,1,32632,0.180693,120.613326,31.306832,三香路40号,885938
天玺别墅,6,11801,0.006139,120.117155,30.960338,通湖路500号,939150
西苑小区,2,5056,-0.204030,119.909386,31.009550,米行弄,939568
太湖胥香园(别墅),1,16170,,120.484848,31.230288,子胥路,887954
御景豪庭,44,10073,0.182891,120.539980,31.016826,商业街315号,887133
旭辉郎香郡,10,10472,0.054102,120.694385,30.757483,育英路，近秀园路,926311
太湖花园,5,16402,0.350091,120.108034,30.901814,太湖路699号,939142
融创太湖印,40,8593,0.006780,120.119784,30.949183,震泽路,994850
蓝湖湾,9,12912,-0.037396,120.537879,31.855617,暨阳湖大道,889409
德鸿练溪上郡,103,6917,0.033716,120.420436,30.720260,迎宾路289号,939222
旺角维多利亚花园,1,12400,,119.911700,31.025707,花菇山路,939560
涵月楼花园,5,24951,0.296830,120.409367,31.092111,雨花路,888094
香榭假日山庄,1,24615,0.036377,120.524727,31.279587,金山路,887889
东茂商业广场,140,10815,-0.033760,120.647267,30.909754,舜湖西路，近西环路,887365
钱江君庭(北区),6,13039,0.005049,120.567984,30.408870,中新路79号,914291
金星花苑一区,1,23622,,120.561958,31.435225,中市路,889050
紫竹园,1,12608,0.171638,120.572151,32.385457,健康南路45号,918436
1号公馆,119,8083,0.002885,120.589161,30.632833,圆明路403号,992977
碧桂园,175,12358,-0.045935,120.468703,31.379205,华通路299号,886669
苏苑二村,2,14814,-0.234142,120.648014,31.279700,吴中东路66号,887582
中南世纪城,1,14382,0.009263,120.646623,31.135135,中山南路，近长板路,887080
和融优山美地公馆(别墅),1,16111,-0.003156,120.669582,31.289947,独墅湖大道,888467
利铭花园,71,6968,-0.078346,120.268921,30.725610,莫墙线,995195
星湖湾,3,13189,-0.077223,120.596915,30.638033,环园路176号,993036
公园新村,1,10915,-0.055479,120.557396,31.878069,公园路，近城北路,889279
仓街28号小区,3,14000,-0.005117,120.644244,31.317454,仓街28号,885868
碧桂园翡翠湾,14,9607,0.041689,120.081540,30.844649,田园路，近二环西路,1030268
沁苑小区,1,29411,0.049231,120.688623,31.331428,现代大道,888399
恒达星湖湾,10,11250,-0.042798,120.668504,31.157607,运东大道,887010
东湖新村,2,24655,0.350522,120.635108,31.232106,盛城路,887451
首开幸福广场,1,11111,,120.628834,31.227646,邵昂路，近兴昂路,1002469
中良新塍花园,20,6690,-0.262769,120.616915,30.795233,兴镇路,780835
攀华国际广场,1,7236,-0.176136,120.576089,31.844886,东南大道,889454
如皋碧桂园,59,6117,-0.025780,120.569095,32.414074,海阳北路,918381
龙源新河湾,1,8218,0.369792,120.558790,32.366996,花市路，近解放西路,1010391
绿都锦苑,1,8519,0.006914,120.549814,30.627916,校场西路288号,892486
万汇广场,70,8087,-0.010644,120.083165,30.869895,红旗路1188号,939160
汇丰新村,50,6327,0.189650,120.546360,30.626085,校场西路,892465
中兴公寓,4,9486,0.057727,119.974499,30.531013,中兴南路568号,939447
西塘小筑,47,26678,0.036662,120.630167,31.282214,西塘北巷12号,887630
江锦云庐,9,7551,0.026873,119.900943,30.998919,紫金路,1006348
海兴花园,1,7058,0.073623,119.922258,31.000305,明珠二路170号,939480
建设新村,1,10000,0.213298,120.644295,31.819353,人民路，近维达路,889356
百合花园,27,8965,-0.002670,120.563107,30.645698,中山东路,892429
东方雅苑,1,7228,-0.059099,119.709350,30.637788,祥溪路294号,939629
新南浔孔雀城,468,11362,0.000154,120.425475,30.843790,联谊路,995198
大运城,7,14619,0.377768,120.541454,31.262816,中山东路88号,887970
何山花园,2,16454,-0.003271,120.568849,31.307137,邓尉路288号,420304
人民新村,3,14444,,120.110047,30.880024,人民路432号,939118
苏州城市生活广场,1,9978,-0.239598,120.614273,31.348970,平泷路，近花莲路,885448
恒润新新家园,2,17795,0.013721,120.577805,31.323525,新庄西路,885459
立新漾滨春天,1,11238,-0.024225,120.652205,30.911962,中心大道2699号,887307
大自然城市花园,23,10112,-0.005801,119.925174,31.011068,解放东路129号,939461
幸福新村,3,11453,0.242232,120.573222,30.633008,幸福路，近振福路,993037
赞成学士府,8,9772,0.031237,120.133449,30.882939,二环东路,939201
民乐小区,2,19482,-0.152403,120.002881,30.545069,武源街,939399
南门新村,1,16842,-0.034696,120.632773,31.298202,竹辉路，近人民路,886207
光福锦泽苑,1,19756,0.374843,120.398108,31.305591,塔山路6号,887983
融创81栋长岛,1,15135,-0.047934,120.562909,31.423537,春秋路5号,889062
绿地中心泊珑湾,1,13077,-0.055479,120.606899,31.136967,东太湖大道9999号,886855
豪天花苑,289,6455,0.018860,120.591509,32.110665,长江东路,918311
万丽广场,1670,11482,-0.000642,120.690858,30.764750,秀园路698号,991005
宝马花园,52,6746,0.088185,120.442023,30.527477,工农路999号,892543
宏坝B区,3,7810,0.359443,120.585543,32.394269,宁海东路,918319
伟业银座,6,9000,0.035197,120.668298,31.167906,云梨路,887032
湖畔御园,43,8735,-0.042434,120.643820,31.774193,西凤路,801523
华美花园,1,14082,0.064456,120.519204,31.370016,文昌路277号,886678
德尔金色摩纺,6,12878,0.098337,120.647708,30.903486,市场路1号,887353
青成名苑,22,8596,0.024675,120.393387,30.584109,青石路16号,1034807
金色华府,9,9369,-0.023298,119.925769,31.026080,长城路，近中央大道,1012330
南方时代广场,2,11363,0.031219,120.414660,30.871051,南林路252号,939275
康桥丽都(别墅),1,43463,0.390246,120.634586,31.375154,嘉元路663号,888925
西门南村,1,14004,-0.090295,120.543685,31.870031,西门路，近盘龙路,889231
伊顿公馆,70,9764,-0.008151,120.428605,31.956734,中圩路，近中港南路,943754
新都汇,1,10800,0.045600,119.933771,31.016721,县前东街,939575
金山别墅,4,16250,0.003520,120.518638,31.279336,灵天路,887779
湖畔佳苑,100,40000,0.074143,120.590856,31.262451,学府路189号,886652
信达香格里,3,10833,0.030047,120.692695,30.761446,秀园路398号,890276
旭辉百合宫馆,27,32444,0.017579,120.524928,31.351166,新丰路,886714
恬园,2,11954,-0.002170,120.312883,31.130880,金庭路170号,888120
御湖天誉,33,10374,-0.011388,120.125044,30.947209,安居路66号,939195
三香福郡,1,20000,0.039123,120.598115,31.297508,桐泾路717号,885967
明华月亮湾花园,9,11590,-0.219318,120.433033,30.863374,嘉业南路318号,939274
合景峰汇六期,3,18359,-0.022755,120.607138,31.371959,文灵路,888952
濮院佳源中心广场,1,10983,0.016144,120.610157,30.681838,凯旋路,892542
锦瑞苑,9,6833,-0.227560,120.445176,30.885081,便民路449号,939255
东湖金悦(别墅),138,9066,-0.046949,119.990993,30.990111,滨江大道,946358
宏和珈都,83,5092,0.053745,120.267702,32.670016,文化路，近白古线,1020805
西小区,4,8500,-0.192936,120.686699,31.169109,云梨路,887018
金海大厦,2,10000,-0.133449,120.587120,30.626387,校场东路1572号,993007
绿地家园,2,8584,-0.287673,120.676050,30.688721,绿园路,890239
梅花新村,6,32608,0.126200,120.637143,31.344447,官渎路,885411
中央花园,3,8656,0.017857,120.629583,30.673005,兴旺路19号,926331
唐韵花苑,137,9973,-0.013379,120.623420,30.795529,兴镇路，近虹桥路,991003
狮山当代MOMA,31,18022,-0.110345,120.538871,31.283342,竹园路，金枫路,886640
锦溪江南美墅(别墅),4,10000,0.233959,120.024239,30.671625,建设路1号,939058
高桥阳光城,20,11378,0.067714,120.574273,30.547356,乌镇大道，近高铁大道,998685
佳和玫瑰园,3,6782,0.285342,120.282879,30.834109,潘塘路,939239
海上湾(别墅),6,35593,0.019506,120.163453,30.873685,蜀山路1788号,938997
丽景苑,4,36632,-0.220960,120.638735,31.314705,干将东路636号,885861
香山花园,2,12500,0.131631,120.412088,31.231698,校场路,888014
金润玺景苑,2,10273,-0.063366,120.637360,32.403794,中山东路，近如泰运河大桥,1030932
桃园新村,3,10555,0.110936,120.606102,32.305125,园景路,918402
新城吾悦广场,41,20875,0.222404,120.595896,30.634163,振兴东路439号,993033
招商公园1872,2,26517,0.027332,120.574527,31.384718,西环路，近永青路,888997
天筑家园北区,1,15407,-0.247007,120.603190,31.343900,江星路，近平河路,885434
绿地太湖城,14,13736,0.055465,120.605416,31.132782,东太湖大道8899号,886853
中南新村,3,8621,0.117884,120.438877,31.955253,中南路,889633
中兴花园,4,14129,0.380459,119.977802,30.549196,中兴北路126号,939448
东郊花园,4,13489,0.304305,120.646509,32.406481,贾公路1号-60号,918287
华庭现代城,3,8750,,120.698095,30.516210,海昌路,890671
景苑小区,2,13431,-0.018506,120.613769,31.315737,景德路,885741
银杏苑,5,22178,-0.055479,120.591122,31.313241,金门路919号,885605
太湖如意湾,1,11878,0.284538,120.419529,30.967654,环湖路1555号,887199
太湖明珠南泊湾,64,10063,0.136035,120.411374,30.962085,环湖路,887198
