小区,房屋数量,count,均价变动,lng,lat,地址,ID
愉园,129,196201,0.07638919999999999,121.455156,31.218964,淮海中路1350弄1-18号,74891
南郊中华园,129,45482,0.0197886,121.58778999999998,31.052834999999998,航鹤路1699弄,202031
金山东林苑,33,20000,0.046244,121.17501399999999,30.900532000000002,东林街,516416
南秀雅苑,32,43677,-0.0331671,121.398587,31.300944,鄂尔多斯路98弄,865408
象屿鼎城(公寓),102,61956,0.00335228,121.692255,31.193408,华夏二路728弄,405732
芙蓉一村,17,12307,0.0189601,121.01521899999999,30.898896,朱枫公路9295弄,366151
美琪花苑,2,25000,0.00555064,121.44164099999999,31.098328000000002,虹梅南路3001号,186344
晋元里,32,80562,0.0062999,121.444414,31.241506,余姚路321弄,3241
康林公寓,33,28921,-0.0220351,121.587456,31.109873999999998,康沈路2132弄,7780
绿地理想家园,32,14051,-0.0416529,121.0845,31.291125,金中路145号,883853
怀德路公房,1,45938,-0.0300193,121.53068600000002,31.265971,怀德路866弄,17174
浦东花园,16,120242,0.354529,121.59116599999999,31.239578,明月路476号,201
殷行路310弄小区,32,53311,0.042289,121.545601,31.334938,殷行路310弄,11437
伊顿公寓,32,55817,0.0566066,121.51036,31.283814000000003,四平路1147弄,3821
真光新村第六小区,48,50816,-0.05470119999999999,121.3893,31.258251,铜川路1899弄,820430
虹瑞公寓,16,53544,0.036120599999999996,121.48522700000001,31.292328,广灵四路168弄,4386
城市公馆,16,46689,-0.0689873,121.325856,31.314770000000003,栖林路302弄,862117
宫宵公寓,2,17286,0.0105137,121.169298,31.297846000000003,泽普路292弄,8910
天环苑,32,33116,-0.00808722,121.74495300000001,31.176684,江晖路436弄,243957
源城锦翠苑,99,64043,-0.0354394,121.50518100000001,31.157718,灵岩南路499弄1-62号,741
南山路71弄小区,1,52594,-0.0717954,121.47263000000001,31.263045,南山路71弄,63316
黄陵小区,80,57620,-0.00266799,121.43290800000001,31.268946000000003,黄陵路151弄1-116号,12547
新院村,16,17261,-0.0493474,121.52968999999999,30.844571000000002,奉炮公路432弄,820177
阳光威尼斯四期(公寓),82,50008,-0.0144915,121.37706200000001,31.266552,祁连山南路2727弄，金鼎路1600弄,1025760
三星苑,133,34310,0.0103931,121.20615,31.018041999999998,乐都西路1155弄,8759
金域蓝湾,35,11919,0.210448,120.52653799999999,31.297521999999997,金山路，近湘江路,887782
中奥美泉宫,212,17865,0.0174849,120.07658899999998,30.920657000000002,弁山大道1818号,939207
东方别墅,81,102249,0.0340298,121.61506999999999,31.230534000000002,金桥路3219弄，金桥路3221弄,1026170
中南君悦府,32,20036,0.256225,121.14421499999999,31.463503000000003,上海路，近东亭路,946499
谈中路223弄小区,32,33074,-0.0540827,121.539332,31.072108,谈中路223弄,866342
浦江华侨城(二期),327,53028,-0.00262242,121.498337,31.107302,浦驰路1809弄,818401
开鲁六村,32,50000,-0.00107883,121.536328,31.333775,开鲁六村,4967
丽泽荷亭苑,98,22337,0.0168727,121.88166100000001,30.981182,首善街555弄,440676
安居朝阳园,65,69816,0.03750119999999999,121.39533600000001,31.242627000000002,怒江北路458弄1-45号,3007
银河湾,50,10078,0.0729419,120.73138600000001,30.728127,银河路,890087
罗山花苑,19,96204,0.00342481,121.58273500000001,31.239813,明月路199弄,565228
绍兴路52弄小区,96,124004,-0.00235839,121.471003,31.215968,绍兴路52弄,345345
古北嘉年华庭(南区),298,97380,0.022734,121.414455,31.199076,黄金城道259弄,1091
证大家园(别墅),16,65522,-0.00195623,121.607386,31.286919,巨峰路667弄,873632
金澄明珠别墅,16,25068,-0.011670100000000001,120.85213300000001,31.247689,湖滨路666号,888158
德华四村,130,34778,-0.0526428,121.314976,31.303538,德园路570弄，裕丰路228弄，德园路532弄，德华四村，裕丰路201弄,990274
白玉苑,96,62957,-0.00526931,121.42343899999999,31.237683,白玉路358弄,1580
