小区,房屋数量,count,均价变动,lng,lat,地址,ID
嘉禾北京城,3,13157,,120.761365,30.780216,北京路37号,889862
解放一村,1,10769,0.010889,120.934533,30.849764,斜家桥路,890381
鸿翔花园,1,12526,0.295748,120.694259,30.522505,盛堰路3号,890572
昆城景苑,95,12665,-0.013513,120.959798,31.372163,衡山路1500号,883770
大自然城市花园,7,10674,0.024671,119.925174,31.011068,解放东路129号,939461
豪杰翡翠湾,38,10000,-0.015845,120.646887,30.790762,嘉铜公路,795480
尚城国际花园,8,25437,0.048516,120.954838,31.429482,北门路1388号,884008
苏锦一村(丹桂苑),1,31818,,120.615194,31.342552,平河路，近江坤路,885391
信达南郡,47,8251,-0.046237,120.811090,30.673787,幸福路188号,582986
海盐金色海岸,48,10978,0.030798,120.967900,30.537590,海丰东路,890506
君地新大陆,1,15193,-0.254599,120.720409,31.367945,唯华路3号,888250
胜利新村,10,14285,0.050754,120.953235,31.426650,北门路,884023
方舟园,1,16666,-0.091177,120.733400,30.771915,友谊街230号,890188
西塘新村,1,16866,0.228441,120.631653,31.280684,东吴北路,887631
大德玲珑湾,6,10118,0.093011,120.964679,31.410027,萧林路699号,883372
青春驿站,10,20000,0.162318,120.981237,31.423427,富士康路,883955
荷塘月色景苑,48,10217,0.058866,120.887327,30.950897,西汉大道,605852
城南花园,80,8838,0.005461,120.749117,30.757658,城南路237号,889732
融创太湖印,63,8602,0.000989,120.119784,30.949183,震泽路,994850
宝格丽公馆,207,11032,0.003913,120.805966,30.740052,庆丰路,794506
益闵花园,7,10853,0.129227,120.946095,31.289989,新吴街168号,884272
融创石湖桃花源,4,19727,-0.003737,120.608872,31.261439,友新高架，近新郭港,886663
人民新村,2,14444,-0.079883,120.110047,30.880024,人民路432号,939118
中南世纪城(别墅),11,18360,0.044666,120.776976,31.661712,泰山南路,885307
阳光里程,1,15909,0.256734,120.515212,31.869803,百桥路8号,889575
城东公寓,2,10168,0.211486,120.771038,30.773008,城东路373号,889730
骏园,6,9693,,120.764299,30.721477,花园路,889896
雍景湾南苑,90,12852,0.111039,120.971222,31.374079,柏庐路,884290
鑫河湾,4,20000,0.105461,120.926215,31.181492,长寿东路,884210
上海城新天地家园A区,1,5166,-0.021776,120.462175,30.915060,贯南一路,887275
敏华聚珑阁,59,10319,0.012660,120.668874,31.154678,运东大道，近湖心西路,988075
解放新村,40,27222,-0.054956,120.614310,31.290757,解放东路,886015
望河花园,1,8421,-0.220422,120.693734,30.524965,联塘路,891535
放鹤洲花园,28,12209,-0.001554,120.749209,30.748426,放鹤洲路562号,889771
禾东公寓(南区),2,7777,0.077445,120.782999,30.782549,周安路161号,889808
御湖天誉,70,10533,,120.125044,30.947209,安居路66号,939195
滨江花苑,10,8928,0.057695,120.923927,30.846426,中山西路228号,890341
博威黄金海岸,1,13372,,120.992954,31.418972,新纬路888号,883617
星海御景园御府,1,12222,0.111798,120.696392,31.541053,新阳大道56号,885190
中南公寓,9,10204,0.018973,120.791906,30.736512,由拳路2717号,890127
昆山玉兰公馆,341,22686,-0.011848,120.980419,31.359020,长江中路,946535
地中海一号公馆,1,11230,0.098396,120.714872,30.549517,横山路,890527
美迪家园,4,8055,0.089397,120.804225,30.673728,民新路18号,617272
高桥阳光城,52,10954,-0.097768,120.574273,30.547356,乌镇大道，近高铁大道,998685
