小区,房屋数量,count,均价变动,lng,lat,地址,ID
愉园,16,195652,-0.00264057,121.455156,31.218964,淮海中路1350弄1-18号,74891
南郊中华园,167,45025,-0.0100479,121.58778999999998,31.052834999999998,航鹤路1699弄,202031
美琪花苑,28,25000,,121.44164099999999,31.098328000000002,虹梅南路3001号,186344
金山东林苑,31,20000,0.00060036,121.17501399999999,30.900532000000002,东林街,516416
象屿鼎城(公寓),68,61956,,121.692255,31.193408,华夏二路728弄,405732
芙蓉一村,6,12307,0.00122031,121.01521899999999,30.898896,朱枫公路9295弄,366151
南秀雅苑,8,43636,-0.00045812699999999996,121.398587,31.300944,鄂尔多斯路98弄,865408
晋元里,58,81273,0.00967774,121.444414,31.241506,余姚路321弄,3241
康林公寓,4,31645,0.08428989999999999,121.587456,31.109873999999998,康沈路2132弄,7780
兴国路新里,5,184228,,121.444116,31.21515,兴国路,321753
绿地理想家园,16,14024,-0.00383577,121.0845,31.291125,金中路145号,883853
水云庄园,4,9512,-0.0211978,120.95171,30.546043,长安北路488号,890491
浦东花园,2,142156,0.09609619999999999,121.59116599999999,31.239578,明月路476号,201
殷行路310弄小区,8,53311,0.00471156,121.545601,31.334938,殷行路310弄,11437
伊顿公寓,78,51724,-0.0500468,121.51036,31.283814000000003,四平路1147弄,3821
真光新村第六小区,8,52941,0.0465544,121.3893,31.258251,铜川路1899弄,820430
虹瑞公寓,2,54629,0.0100396,121.48522700000001,31.292328,广灵四路168弄,4386
城市公馆,84,50000,0.06127819999999999,121.325856,31.314770000000003,栖林路302弄,862117
宫宵公寓,16,19565,0.12623800000000002,121.169298,31.297846000000003,泽普路292弄,8910
永康路165号小区,5,113181,-0.00918323,121.462246,31.216224,永康路165号,183945
天环苑,57,33116,0.00018121400000000002,121.74495300000001,31.176684,江晖路436弄,243957
源城锦翠苑,136,61206,-0.0373842,121.50518100000001,31.157718,灵岩南路499弄1-62号,741
南山路71弄小区,16,55159,0.03950019999999999,121.47263000000001,31.263045,南山路71弄,63316
黄陵小区,69,58510,0.012949700000000001,121.43290800000001,31.268946000000003,黄陵路151弄1-116号,12547
新院村,4,15094,-0.0883064,121.52968999999999,30.844571000000002,奉炮公路432弄,820177
阳光威尼斯四期(公寓),159,50871,0.016687999999999998,121.37706200000001,31.266552,祁连山南路2727弄，金鼎路1600弄,1025760
幸福第二公寓,50,53386,0.012767200000000001,121.444667,31.310285999999998,场中路2950弄,2932
三星苑,17,35185,0.0214835,121.20615,31.018041999999998,乐都西路1155弄,8759
金域蓝湾,6,10000,-0.14588299999999998,120.52653799999999,31.297521999999997,金山路，近湘江路,887782
中奥美泉宫,70,17992,0.00530815,120.07658899999998,30.920657000000002,弁山大道1818号,939207
东方别墅,91,102249,,121.61506999999999,31.230534000000002,金桥路3219弄，金桥路3221弄,1026170
青杉路200弄小区,19,44000,0.015744,121.37102800000001,31.182318,青杉路200弄,178355
中南君悦府,2,16500,-0.10233400000000001,121.14421499999999,31.463503000000003,上海路，近东亭路,946499
谈中路223弄小区,2,34166,0.0281673,121.539332,31.072108,谈中路223弄,866342
浦江华侨城(二期),92,53092,0.00572078,121.498337,31.107302,浦驰路1809弄,818401
开鲁六村,39,50806,0.013222200000000002,121.536328,31.333775,开鲁六村,4967
丽泽荷亭苑,59,22222,-0.00599392,121.88166100000001,30.981182,首善街555弄,440676
安居朝阳园,89,69600,-0.00544433,121.39533600000001,31.242627000000002,怒江北路458弄1-45号,3007
罗山花苑,91,96709,0.0119286,121.58273500000001,31.239813,明月路199弄,565228
银河湾,4,11020,0.0446488,120.73138600000001,30.728127,银河路,890087
绍兴路52弄小区,38,124223,0.0026555,121.471003,31.215968,绍兴路52弄,345345
古北嘉年华庭(南区),284,94894,-0.0130321,121.414455,31.199076,黄金城道259弄,1091
证大家园(别墅),22,63492,-0.0266889,121.607386,31.286919,巨峰路667弄,873632
德华四村,131,35918,0.0349517,121.314976,31.303538,德园路570弄，裕丰路228弄，德园路532弄，德华四村，裕丰路201弄,990274
白玉苑,233,64356,0.0212969,121.42343899999999,31.237683,白玉路358弄,1580
长桥四村,446,59649,0.00209999,121.44637900000001,31.140865,长桥四村1-124号,15520
兴中公寓,23,41081,-0.00165253,121.377553,31.111423,莘松路404弄,1305
华晖绿苑,13,64387,0.0682207,121.542367,31.270195,宁国路229弄,3602
天津路247弄,2,137500,,121.488408,31.242802,天津路247弄,427315
春港丽园,365,48701,-0.012690799999999999,121.630071,31.207727000000002,益丰路55弄,1862
康桥半岛翠庭别墅,2,53533,-0.00974843,121.591765,31.138329,秀沿路1168弄2支弄,1027909
金域水岸苑,9,35714,0.07757289999999999,121.109369,31.162746000000002,淀湖路235弄，淀湖路355弄,1025999
锦秋花园(公寓),367,53125,0.00613625,121.39451799999999,31.330555,锦秋路699弄,8586
瑞金二路80弄小区,2,101923,,121.471324,31.220655999999998,瑞金二路80弄,11816
郑家巷小区,2,97495,-0.000112814,121.46357900000001,31.238688,泰兴路383弄,4084
金团花苑,18,13888,0.025323,121.74502199999999,30.974290999999997,永春南路407弄,7932
北宸佳苑,160,67460,-0.015383700000000002,121.494445,31.294504999999997,中山北一路1100弄,3148
万邦都市花园,974,80921,0.00470562,121.56001100000002,31.207524,龙阳路1880弄,318
